name,address,city,district,project_name,investor,price,area,bedroom,post_date,expiration_date,,,,,,,
"Bán căn hộ 3 phòng ngủ 100m2 ban công Nam, giá 3 tỷ 4 bao phí. LH E Hải: 0967205658","Dự án Sunshine Garden, Đường Dương Văn Bé, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",Hà Nội,Hai Bà Trưng,Sunshine Garden,Công ty CP Tập đoàn Sunshine,3.4,94,3,13/12/2021,23/12/2021,,,,,,,
Bán căn hộ Vinhomes Central Park 89.1m2 2PN tòa Park 2 nội thất cao cấp,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh",Hồ Chí Minh,Bình Thạnh,Vinhomes Central Park,Tập đoàn Vingroup,0,89.1,2,12/12/2021,19/12/2021,,,,,,,
"Bán căn hộ 3PN (88m2) tầng đẹp, view sông hồng giá 4tỷ250 bao phí, LH E Hải: 0967205658","Imperia Sky Garden, Số 423, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",Hà Nội,Hai Bà Trưng,Imperia Sky Garden,Công ty CP Terra Gold Việt Nam,4.15,88,3,09/12/2021,19/12/2021,,,,,,,
"Bán căn hộ 3PN (88m2) tầng đẹp, view sông hồng giá 4tỷ250 bao phí, LH E Hải: 0967205658","Imperia Sky Garden, Số 423, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",Hà Nội,Hai Bà Trưng,Imperia Sky Garden,Công ty CP Terra Gold Việt Nam,4.15,88,3,09/12/2021,19/12/2021,,,,,,,
Chuẩn bị mở bán dự án Masteri Centre Point Q9 / ngân hàng hỗ trợ vay 100% - 0% lãi suất,"Dự án Masteri Centre Point, Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",Hồ Chí Minh,Quận 9,Masteri Centre Point,10 block căn hộ,0,53.9,1,17/12/2021,24/12/2021,,,,,,,
"Bán rẻ căn hộ góc 3PN, 127m2 tại Hoà Bình Green City. LH 0975 997 166","Hòa Bình Green City, 505, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",Hà Nội,Hai Bà Trưng,Hòa Bình Green City,Công ty CP Nông sản Agrexim,4.2,127,3,17/12/2021,24/12/2021,,,,,,,
"Chính chủ bán lỗ giá Covid căn hộ 2PN 83m M1 tầng 10 giá 5,3tỷ Vinhomes Metropolis LH O945.575.668","Dự án Vinhomes Metropolis - Liễu Giai, Phố Liễu Giai, Phường Ngọc Khánh, Ba Đình, Hà Nội",Hà Nội,Ba Đình,Vinhomes Metropolis - Liễu Giai,Tập đoàn Vingroup,5.3,83,2,10/12/2021,18/12/2021,,,,,,,
Gấp! Cần bán căn 4pn đông tứ mệnh - tòa A giá bao rẻ Mulberry Lane đẩy trước tết - 0981960899,"Dự án Mulberry Lane, Phường Mỗ Lao, Hà Đông, Hà Nội",Hà Nội,Hà Đông,Mulberry Lane,Tập đoàn CapitaLand,3.146,121,3,17/12/2021,27/12/2021,,,,,,,
"Bán căn hộ 2PN, đóng trước 1.6 tỷ nhận nhà ở luôn, còn lại hỗ trợ 24 THÁNG 0% lãi suất","Dự án The Zei Mỹ Đình, Đường Lê Đức Thọ, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội.",Hà Nội,Nam Từ Liêm,The Zei Mỹ Đình,HD Mon Holdings,0,88.4,2,17/12/2021,24/12/2021,,,,,,,
"BQL: Tổng hợp 80 CH mới nhất tháng 12 cần bán ở Mỹ Đình Pearl, 50m2 - 73m2 - 94m2, Giá từ 1.9 tỷ","Dự án Mỹ Đình Pearl, Phường Phú Đô, Nam Từ Liêm, Hà Nội",Hà Nội,Nam Từ Liêm,Mỹ Đình Pearl,Công ty CP tập đoàn S.S.G,1.9,50,2,17/12/2021,24/12/2021,,,,,,,
"Căn hộ cao cấp bật nhất Biên Hoà Universe Hưng Thịnh, mở bán tặng thêm 3 chỉ vàng, chiết khấu 22%","Dự án Biên Hoà Universe Complex, Đường Xa Lộ Hà Nội, Phường Hố Nai, Biên Hòa, Đồng Nai",Đồng Nai,Biên Hòa,Biên Hoà Universe Complex,Công ty TNHH Việt Thuận Thành,2.1,72,2,17/12/2021,24/12/2021,,,,,,,
"Ảnh thật căn 2PN siêu đẹp, mới như ảnh, bếp thông logia, giá 3.8 tỷ full đồ Park Premium Times City","Dự án Times City - Park Hill, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",Hà Nội,Hai Bà Trưng,Vinhomes Times City - Park Hill,Tập đoàn Vingroup,3.8,79,2,17/12/2021,24/12/2021,,,,,,,
"Bán căn hộ 56m2 Mizuki Park, hướng nam, 2tỷ350 gồm 5% ra sổ và thuế phí. Pháp lý rõ ràng","Dự án Mizuki Park, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh",Hồ Chí Minh,Bình Chánh,Mizuki Park,Công ty CP Đầu tư Nam Long,2.35,56,2,17/12/2021,24/12/2021,,,,,,,
"Bán rẻ căn hộ góc 3PN 130m2 tại Sun Ancora, số 3 Lương Yên, LH: 0975.997.166","Sun Grand City Ancora Residence, số 3, Đường Lương Yên, Phường Bạch Đằng, Hai Bà Trưng, Hà Nội",Hà Nội,Hai Bà Trưng,Sun Grand City Ancora Residence,Tập đoàn Sun Group,8.39,129.8,3,17/12/2021,24/12/2021,,,,,,,
"Bán căn Mizuki Park 72m2 giá tốt nhất 2,9 tỷ hướng mát, view đẹp tặng nội thất đẹp","Dự án Mizuki Park, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh",Hồ Chí Minh,Bình Chánh,Mizuki Park,Công ty CP Đầu tư Nam Long,2.9,72,2,17/12/2021,24/12/2021,,,,,,,
"Hot! Hưng Thịnh nhận đặt chỗ giai đoạn 1 dự án chuẩn resort Lavita Thuận An, chỉ từ 32 triệu/m2","Dự án Lavita Thuận An, Đường Đại Lộ Bình Dương, Phường An Thạnh, Thuận An, Bình Dương",Bình Dương,Thuận An,Lavita Thuận An,Công ty CP Tập đoàn Hưng Thịnh,1.152,36,1,17/12/2021,24/12/2021,,,,,,,
Bán nhanh căn hộ 3PN giá rẻ tại Sun Ancora số 3 Lương Yên. Liên Hệ: 0975.997.166,"Sun Grand City Ancora Residence, số 3, Đường Lương Yên, Phường Bạch Đằng, Hai Bà Trưng, Hà Nội",Hà Nội,Hai Bà Trưng,Sun Grand City Ancora Residence,Tập đoàn Sun Group,6.7,108,3,17/12/2021,24/12/2021,,,,,,,
"Cắt lỗ căn 6, 7, 8, 9 tòa S4 tầng đẹp - Seasons Avenue - LH: 098.1960.899","Dự án Seasons Avenue, Phường Mỗ Lao, Hà Đông, Hà Nội",Hà Nội,Hà Đông,Seasons Avenue,Tập đoàn CapitaLand,3.6,138,3,17/12/2021,24/12/2021,,,,,,,
"Cắt lỗ căn 6, 7, 8, 9 tòa S4 tầng đẹp - Seasons Avenue - LH: 098.1960.899","Dự án Seasons Avenue, Phường Mỗ Lao, Hà Đông, Hà Nội",Hà Nội,Hà Đông,Seasons Avenue,Tập đoàn CapitaLand,3.6,138,3,17/12/2021,24/12/2021,,,,,,,
"Bán CH thông minh tại tp Biên Hòa, 73m2, 2PN 2WC giảm đến 1,3 tỷ, góp theo tiến độ, 0931484007","Dự án Biên Hoà Universe Complex, Đường Xa Lộ Hà Nội, Phường Hố Nai, Biên Hòa, Đồng Nai",Đồng Nai,Biên Hòa,Biên Hoà Universe Complex,Công ty TNHH Việt Thuận Thành,2.2,74,2,17/12/2021,24/12/2021,,,,,,,
Chính chủ bán 3PN Mulberry tòa C DT 127m2 full nội thất đẹp,"Dự án Mulberry Lane, Phường Mỗ Lao, Hà Đông, Hà Nội",Hà Nội,Hà Đông,Mulberry Lane,Tập đoàn CapitaLand,3.5,127,3,17/12/2021,24/12/2021,,,,,,,
"Bán căn hộ Cityland Park Hills 1 PN, 2 PN, 3 PN. View đẹp, giá tốt nhất, LH: 0932.192.039 Hiếu","Dự án CityLand Park Hills, 18 Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh",Hồ Chí Minh,Gò Vấp,CityLand Park Hills,Công ty TNHH Đầu tư Địa ốc Thành phố (CityLand),3.4,76,2,17/12/2021,24/12/2021,,,,,,,
"Bán căn hộ CC CT12 Kim Văn Kim Lũ 54.3m2 SĐCC, nhà nội thất sạch đẹp, ban công đông nam, giá 1.25tỷ","Dự án Kim Văn Kim Lũ, Đường Nghiêm Xuân Yêm, Phường Đại Kim, Hoàng Mai, Hà Nội",Hà Nội,Hoàng Mai,Khu đô thị Kim Văn - Kim Lũ (Golden Silk),Công ty CP Xây dựng số 2 - Vinaconex2,1.25,54.3,2,17/12/2021,24/12/2021,,,,,,,
"Bán căn 65m2 giá tốt nhất dự án Le Grand Jardin - chỉ 2,080 tỷ - nhận nhà ở ngay","Dự án Le Grand Jardin Sài Đồng, Đường Huỳnh Văn Nghệ, Phường Sài Đồng, Long Biên, Hà Nội",Hà Nội,Long Biên,Le Grand Jardin Sài Đồng,Công ty CP Đầu tư Xây dựng số 9 Hà Nội,2.08,65,2,17/12/2021,25/12/2021,,,,,,,
"Cần bán căn hộ Thanh Đa View, Q. Bình Thạnh, DT 70m2, 2PN, giá 3,7 tỷ, LH: 0932.192.039 Hiếu","Dự án Thanh Đa View, Đường Thanh Đa, Phường 27, Bình Thạnh, Hồ Chí Minh",Hồ Chí Minh,Bình Thạnh,Thanh Đa View,Công ty CP Thanh Yến,3.7,70,2,17/12/2021,24/12/2021,,,,,,,
"Gia đình cần bán căn góc 3PN tại CC Rivera Park (ĐN) DT 110.4m2. Giá 4.3tỷ, LH 0936203001 (miễn TG)","Rivera Park Hà Nội, 69, Đường Vũ Trọng Phụng, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",Hà Nội,Thanh Xuân,Rivera Park Hà Nội,Công ty CP Đầu tư và Phát triển Đô thị Long Giang,4.3,110.4,3,14/12/2021,23/12/2021,,,,,,,
"Tôi cần bán căn góc 3PN 123m2 tại Thống Nhất Complex (Đông Nam) giá 4,6 tỷ. Không Trung Gian","Thống Nhất Complex, 82, Đường Nguyễn Tuân, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",Hà Nội,Thanh Xuân,Thống Nhất Complex,"Gồm 2 tòa chung cư cao 25 tầng, 48 lô biệt thự liền kề",4.6,123,3,14/12/2021,23/12/2021,,,,,,,
"Chính chủ bán căn góc 2PN, DT 71.22m2 tại 90 Nguyễn Tuân (ĐN) giá 2,6 tỷ. LH 0936203001 không TG","Dự án 90 Nguyễn Tuân, Đường Nguyễn Tuân, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",Hà Nội,Thanh Xuân,Khu nhà ở 90 Nguyễn Tuân,Công ty CP Sông Đà 7,2.6,71.22,2,14/12/2021,23/12/2021,,,,,,,
"Bán CHCC Prosper Plaza, Quận 12, DT 54m2, 65m2, 2PN, căn góc, giá từ 1.8 tỷ, LH: 0932.192.039 Hiếu","Dự án Prosper Plaza, Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh",Hồ Chí Minh,Quận 12,Prosper Plaza,Gồm 1552 căn hộ và 75 Shophouse,2,65,2,17/12/2021,24/12/2021,,,,,,,
"Bán căn hộ 118m2 3PN, 2VS. Căn góc, 2 ban công hứng trọn gió Nam siêu mát, full đồ 0971586583","Golden Field Mỹ Đình, 24, Đường Nguyễn Cơ Thạch, Thị trấn Cầu Diễn, Nam Từ Liêm, Hà Nội",Hà Nội,Nam Từ Liêm,Golden Field Mỹ Đình,Công ty Cổ phần Địa ốc MB,3.776,118,3,17/12/2021,24/12/2021,,,,,,,
"Chính chủ bán căn hộ 89m2 chung cư Thống Nhất Complex, giá 3.3 tỷ có thương lượng - LH 0965551255","Thống Nhất Complex, số 82, Đường Nguyễn Tuân, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",Hà Nội,Thanh Xuân,Thống Nhất Complex,"Gồm 2 tòa chung cư cao 25 tầng, 48 lô biệt thự liền kề",3.3,89,3,11/12/2021,18/12/2021,,,,,,,
"Hot! Bán gấp căn 3PN Đông Nam tầng trung tại Park Hill, view thành phố cực đẹp giá rẻ 5.350 tỷ BP","Dự án Times City - Park Hill, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",Hà Nội,Hai Bà Trưng,Vinhomes Times City - Park Hill,Tập đoàn Vingroup,5.35,105,3,17/12/2021,24/12/2021,,,,,,,
"Cần bán nhanh trước Tết căn hộ 2PN tầng cao - diện tích 76m2 - 3,3 tỷ - LH 0974325996","Dự án Imperia Sky Garden, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",Hà Nội,Hai Bà Trưng,Imperia Sky Garden,Công ty CP Terra Gold Việt Nam,3.3,76,2,17/12/2021,27/12/2021,,,,,,,
Chỉ từ 800tr sở hữu căn chung cư Tecco - Thịnh Đán hiện đại bậc nhất Thái Nguyên,"Dự án Tecco Elite City, Đường Quang Trung, Phường Thịnh Đán, Thái Nguyên, Thái Nguyên.",Thái Nguyên,Thái Nguyên,Tecco Elite City,Tập đoàn Tecco,0,70,2,17/12/2021,27/12/2021,,,,,,,
"Chính chủ bán căn hộ 116,3m2 3PN2VS căn góc tầng trung (15) full nội thất cửa ĐN - TB. 0971586583","Dự án Phú Gia Residence, Đường Nguyễn Huy Tưởng, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",Hà Nội,Thanh Xuân,Phú Gia Residence,Công ty CP Đầu tư Phát triển Hợp Phú,3.3756,116.4,3,17/12/2021,24/12/2021,,,,,,,
"Bán căn hộ 118m2 3PN, 2VS. Căn góc, 2 ban công hứng trọn gió Nam siêu mát, full đồ 0971586583","Golden Field Mỹ Đình, 24, Đường Nguyễn Cơ Thạch, Thị trấn Cầu Diễn, Nam Từ Liêm, Hà Nội",Hà Nội,Nam Từ Liêm,Golden Field Mỹ Đình,Công ty Cổ phần Địa ốc MB,3.776,118,3,17/12/2021,24/12/2021,,,,,,,
"Chính chủ bán căn hộ 89m2 chung cư Thống Nhất Complex, giá 3.3 tỷ có thương lượng - LH 0965551255","Thống Nhất Complex, số 82, Đường Nguyễn Tuân, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",Hà Nội,Thanh Xuân,Thống Nhất Complex,"Gồm 2 tòa chung cư cao 25 tầng, 48 lô biệt thự liền kề",3.3,89,3,11/12/2021,18/12/2021,,,,,,,
"Hot! Bán gấp căn 3PN Đông Nam tầng trung tại Park Hill, view thành phố cực đẹp giá rẻ 5.350 tỷ BP","Dự án Times City - Park Hill, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",Hà Nội,Hai Bà Trưng,Vinhomes Times City - Park Hill,Tập đoàn Vingroup,5.35,105,3,17/12/2021,24/12/2021,,,,,,,
"Cần bán nhanh trước Tết căn hộ 2PN tầng cao - diện tích 76m2 - 3,3 tỷ - LH 0974325996","Dự án Imperia Sky Garden, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",Hà Nội,Hai Bà Trưng,Imperia Sky Garden,Công ty CP Terra Gold Việt Nam,3.3,76,2,17/12/2021,27/12/2021,,,,,,,
Chỉ từ 800tr sở hữu căn chung cư Tecco - Thịnh Đán hiện đại bậc nhất Thái Nguyên,"Dự án Tecco Elite City, Đường Quang Trung, Phường Thịnh Đán, Thái Nguyên, Thái Nguyên.",Thái Nguyên,Thái Nguyên,Tecco Elite City,Tập đoàn Tecco,0,70,2,17/12/2021,27/12/2021,,,,,,,
"Chính chủ bán căn hộ 116,3m2 3PN2VS căn góc tầng trung (15) full nội thất cửa ĐN - TB. 0971586583","Dự án Phú Gia Residence, Đường Nguyễn Huy Tưởng, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",Hà Nội,Thanh Xuân,Phú Gia Residence,Công ty CP Đầu tư Phát triển Hợp Phú,3.3756,116.4,3,17/12/2021,24/12/2021,,,,,,,
Chính chủ bán căn hộ 2PN đầy đủ nội thất chung cư Rivera Park - giá 2.8 tỷ - LH 0965551255,"Dự án Rivera Park Hà Nội, Đường Vũ Trọng Phụng, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",Hà Nội,Thanh Xuân,Rivera Park Hà Nội,Công ty CP Đầu tư và Phát triển Đô thị Long Giang,2.8,70,2,14/12/2021,21/12/2021,,,,,,,
"Chính chủ cần bán nhanh CH Aurora ngay cầu Chà Và, Q8, về quận 1 chỉ 10p, giá 2tỷ050 - 2PN","Aurora Residences, 277, Đường Bến Bình Đông, Phường 14, Quận 8, Hồ Chí Minh",Hồ Chí Minh,Quận 8,Aurora Residences,Công ty CP Đầu Tư Căn Nhà Mơ Ước,2.05,67.91,2,17/12/2021,24/12/2021,,,,,,,
Cần sang nhượng giỏ hàng giá chênh nhẹ các vị trí đẹp nhất D/A D-Homme Quận 6,"Dự án D-Homme, Đường Hồng Bàng, Phường 6, Quận 6, Hồ Chí Minh",Hồ Chí Minh,Quận 6,D-Homme,497 căn hộ,0,51.3,1,17/12/2021,24/12/2021,,,,,,,
"Bán cắt lỗ toà C7, căn số 1, diện tích 82m2, căn 2 ngủ, ban công Đông Nam, view hồ","Dự án Vinhomes D'Capitale, Đường Trần Duy Hưng, Phường Trung Hòa, Cầu Giấy, Hà Nội",Hà Nội,Cầu Giấy,Vinhomes D'Capitale,Tân Hoàng Minh Group,0,82,2,17/12/2021,24/12/2021,,,,,,,
Chỉ 769tr sở hữu ngay căn hộ cao cấp Aria Đà Nẵng 5 * view biển giai đoạn 1 sinh lời tốt,"Dự án Aria Đà Nẵng Hotel And Resort, Đường Trường Sa, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng",Đà Nẵng,Ngũ Hành Sơn,Aria Đà Nẵng Hotel And Resort,"22 căn biệt thự, 2 tháp căn hộ condotel gồm 230 phòng",3.3,108,3,17/12/2021,24/12/2021,,,,,,,
"Bán nhanh CH 84m2 CC Khang Gia Gò Vấp 2PN 2WC, tầng 6, nhà mới đẹp, bancol rộng 10m2, giá 2 tỷ 2 TL","Dự án Khang Gia Gò Vấp, Đường Số 45, Phường 14, Gò Vấp, Hồ Chí Minh",Hồ Chí Minh,Gò Vấp,Căn hộ Khang Gia Gò Vấp,Tổng Công ty CP Đầu tư và Phát triển Địa ốc Khang Gia,2.2,84,2,17/12/2021,27/12/2021,,,,,,,
Bán căn 2PN 2WC tòa P9 - mua bán căn hộ Vinhomes Times Park Hill cùng Subbaba,"Dự án Park Hill Premium - Times City, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",Hà Nội,Hai Bà Trưng,Park Hill Premium - Times City,Tập đoàn Vingroup,3.5,68,2,17/12/2021,24/12/2021,,,,,,,
Căn hộ cao cấp tại HC Golden City chỉ với 3 tỷx - quà tặng lên đến 100triệu Chiết khấu 4%GTCH,"Dự án HC Golden City, Phố Hồng Tiến, Phường Bồ Đề, Long Biên, Hà Nội",Hà Nội,Long Biên,HC Golden City,Tổng Công ty 319 - Bộ Quốc phòng,3.4,87,3,17/12/2021,24/12/2021,,,,,,,
"Bán căn hộ chung cư CT12 Kim Văn Kim Lũ, 45 m2, SĐCC, nội thất cơ bản đầy đủ, ban công đông nam","Dự án Kim Văn Kim Lũ, Đường Nghiêm Xuân Yêm, Phường Đại Kim, Hoàng Mai, Hà Nội",Hà Nội,Hoàng Mai,Khu đô thị Kim Văn - Kim Lũ (Golden Silk),Công ty CP Xây dựng số 2 - Vinaconex2,0.87,45,1,17/12/2021,24/12/2021,,,,,,,
"Bán CH Dreamhome Q8 đang giao nhà, căn 2PN 2WC 62m2, căn B19-06 view đài phun nước, giá 2,1tỷ có TL","Dự án Dream Home Palace, Đường Trịnh Quang Nghị, Phường 7, Quận 8, Hồ Chí Minh",Hồ Chí Minh,Quận 8,Dream Home Palace,Công ty TNHH Nhà Mơ,2.1,62,2,17/12/2021,27/12/2021,,,,,,,
Chính chủ cần bán nhanh căn hộ chung cư Hoàng Tháp Plaza (9A khu),"Dự án Hoàng Tháp Plaza, Đường Nguyễn Văn Cừ, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh",Hồ Chí Minh,Bình Chánh,Căn Hộ Cao Cấp Hoàng Tháp Plaza,Công ty CP Đầu Tư Hoàng Tháp,3.2,98,3,17/12/2021,24/12/2021,,,,,,,
Chuyên bán căn hộ Vinhomes Central Park giá tốt thị trường: 0902724555,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh",Hồ Chí Minh,Bình Thạnh,Vinhomes Central Park,Tập đoàn Vingroup,3,51,1,17/12/2021,27/12/2021,,,,,,,
"Bán căn hộ IA20 Ciputra 92m2 giá rẻ nhất hiện tại 2,45 tỷ có thương lượng tầng trung view sông Hồng","Dự án IA20 Ciputra, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội",Hà Nội,Bắc Từ Liêm,IA20 Ciputra,Công ty CP Đầu tư Bất động sản Đông Đô - BQP,2.45,92,3,17/12/2021,24/12/2021,,,,,,,
"Vip Dolphin Plaza có giá 25,9tr/m2 rồi nhé mọi người (Giá thật) căn 144m2 tầng trung (22) full đồ","Dự án Dolphin Plaza, Phố Trần Bình, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",Hà Nội,Nam Từ Liêm,Dolphin Plaza,Công ty CP TID,3.7296,144,3,12/12/2021,19/12/2021,,,,,,,
nhượng căn 3 phòng ngủ Bảo Sơn nút giao Hermann - Nguyễn Sỹ Sách . LH 0979 797 680,"Dự án Bảo Sơn Complex, Vinh, Nghệ An",Nghệ An,Vinh,Bảo Sơn Complex,"Chung cư cao 31 tầng với 2 tầng thương mại, 2 tầng hầm",1.14,86,3,17/12/2021,24/12/2021,,,,,,,
"Chính chủ bán căn tầng trung (20) 62m2 thuộc toà CT4 dự án IrisGarden, view nội khu. LH: 0971586583","Dự án Iris Garden, Đường Trần Hữu Dực, Phường Mễ Trì, Nam Từ Liêm, Hà Nội.",Hà Nội,Nam Từ Liêm,Iris Garden,"Gồm 2 tầng hầm, 5 tháp từ 25-29 tầng",2.45,62,2,13/12/2021,20/12/2021,,,,,,,
Bán căn Studio giá tốt nhất tại Vinhomes Grand Park 0907090388 Mr Pháp,"Vinhomes Grand Park quận 9, Quận 9, Hồ Chí Minh",Hồ Chí Minh,Quận 9,Vinhomes Grand Park,Tập đoàn Vingroup,1.29,30,1,17/12/2021,24/12/2021,,,,,,,
"Cần bán căn hộ cao cấp Galaxy 9, 93m2, 3pn, nhà đẹp, sổ hồng, giá 4,55 tỷ, 0909.722.728","Dự án Galaxy 9, Đường Nguyễn Khoái, Phường 2, Quận 4, Hồ Chí Minh",Hồ Chí Minh,Quận 4,Galaxy 9,Novaland Group,4.55,93,3,12/12/2021,19/12/2021,,,,,,,
"Chính chủ bán căn 91m2 3PN cửa ĐB ban công TN full nội thất cao cấp, tầng trung 23. LH: 0971586583","Dự án Stellar Garden, 35 Phố Lê Văn Thiêm, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",Hà Nội,Thanh Xuân,Stellar Garden,"2 nhà cao 30 tầng nối với nhau bằng khối đế 5 tầng, 2 hầm liên thông",3.9,91,3,13/12/2021,20/12/2021,,,,,,,
"Chính chủ bán căn 62,5m2 2PN, tầng 11 CT4 tòa Iris Garden, cửa Bắc, ban công Nam. Full nội thất","Dự án Iris Garden, Đường Trần Hữu Dực, Phường Mễ Trì, Nam Từ Liêm, Hà Nội",Hà Nội,Nam Từ Liêm,Iris Garden,"Gồm 2 tầng hầm, 5 tháp từ 25-29 tầng",2.2,62.5,2,12/12/2021,19/12/2021,,,,,,,
"Bán căn 4 phòng ngủ 180m2 chung cư Berriver tại Nguyễn Văn Cừ, bàn giao thô siêu vip","Berriver Long Biên, số 390, Đường Nguyễn Văn Cừ, Phường Bồ Đề, Long Biên, Hà Nội",Hà Nội,Long Biên,Berriver Long Biên,Công ty CP Đầu tư Xây dựng số 9 Hà Nội,6.1,180,4,17/12/2021,24/12/2021,,,,,,,
"Bán căn hộ Samsora Riverside, 46m2, 1PN+, có máy lạnh, rèm cửa, sổ hồng, ngân hàng hỗ trợ vay 70%","Dự án Samsora Riverside, Dĩ An, Bình Dương",Bình Dương,Dĩ An,Samsora Riverside,3 Block cao 23 tầng,1.02,46,1,15/12/2021,22/12/2021,,,,,,,
Chính chủ bán căn 67m2 tầng trung thuộc toà CT4 ban công Đông Nam full đồ. 0971586583,"Dự án Eco Green City, Đường Nguyễn Xiển, Xã Tân Triều, Thanh Trì, Hà Nội",Hà Nội,Thanh Trì,Eco Green City,Công ty TNHH Bất động sản và Xây dựng Việt Hưng,2.1,67,2,13/12/2021,20/12/2021,,,,,,,
"Ban quản lý Handi Resco mở bán căn hộ bàn giao thô giá chủ đầu tư 168m2 4N, 3VS. LH 0971586583","Dự án Handi Resco Lê văn Lương, 31 Đường Lê Văn Lương, Phường Nhân Chính, Thanh Xuân, Hà Nội",Hà Nội,Thanh Xuân,Handi Resco Lê Văn Lương,Tổng Công ty Đầu tư và Phát triển nhà Hà Nội (HANDICO),5.796,168,4,13/12/2021,20/12/2021,,,,,,,
"Cực sốc 3PN 2VS 106m2 chỉ 2,7 tỷ tại Mỹ Đình Plaza 1 đường Trần Bình LH 0971586583","Dự án Mỹ Đình Plaza, Phố Trần Bình, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",Hà Nội,Nam Từ Liêm,Mỹ Đình Plaza,Công ty CP Xây lắp Điện 1,2.7,106,3,13/12/2021,20/12/2021,,,,,,,
"Tôi chính chủ bán 2 căn hộ 3PN và 1PN đã làm nội thất rất cẩn thận, đẹp tại Mỹ Đình Pearl","Dự án Mỹ Đình Pearl, Phường Phú Đô, Nam Từ Liêm, Hà Nội",Hà Nội,Nam Từ Liêm,Mỹ Đình Pearl,Công ty CP tập đoàn S.S.G,3.9,94,3,13/12/2021,20/12/2021,,,,,,,
"Bán gấp chung cư The Flemington, Q. 11, 90m2, 3PN, 2wc full nội thất, LH 0399348038","Dự án The Flemington, Đường Lê Đại Hành, Phường 15, Quận 11, Hồ Chí Minh",Hồ Chí Minh,Quận 11,The Flemington,Công ty CP Bảo Gia,0,90,3,17/12/2021,24/12/2021,,,,,,,
"Chính chủ bán căn 144m2 tháp 3 tầng 11 DolphinPlaza 2PN + 1, 3VS, giá 27tr/m2 (Real) LH 0971586583","Dự án Dolphin Plaza, Phố Trần Bình, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",Hà Nội,Nam Từ Liêm,Dolphin Plaza,Công ty CP TID,3.888,144,3,13/12/2021,20/12/2021,,,,,,,
"Bán gấp chung cư The Flemington, Q. 11, 90m2, 3PN, 2wc full nội thất, LH 0399348038","Dự án The Flemington, Đường Lê Đại Hành, Phường 15, Quận 11, Hồ Chí Minh",Hồ Chí Minh,Quận 11,The Flemington,Công ty CP Bảo Gia,0,90,3,17/12/2021,24/12/2021,,,,,,,
"Chính chủ bán căn 144m2 tháp 3 tầng 11 DolphinPlaza 2PN + 1, 3VS, giá 27tr/m2 (Real) LH 0971586583","Dự án Dolphin Plaza, Phố Trần Bình, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",Hà Nội,Nam Từ Liêm,Dolphin Plaza,Công ty CP TID,3.888,144,3,13/12/2021,20/12/2021,,,,,,,
